zipcode,latitude,longitude,city,longitude,zcta,population,population_density,county_name,area_sq_miles
00601,18.18027,-66.75266,Adjuntas,PR,TRUE,16669,99.9,Adjuntas,64.416
00602,18.36075,-67.17541,Aguada,PR,TRUE,37233,474,Aguada,30.327
00603,18.45744,-67.12225,Aguadilla,PR,TRUE,48448,544.6,Aguadilla,34.356
00606,18.16585,-66.93716,Maricao,PR,TRUE,5163,45,Maricao,44.334
00610,18.2911,-67.12243,Anasco,PR,TRUE,25357,263.8,Añasco,37.124
00611,18.27698,-66.80688,Angeles,PR,TRUE,1383,50.2,Utuado,10.649
00612,18.41283,-66.7051,Arecibo,PR,TRUE,62908,319,Arecibo,76.254
00616,18.41878,-66.6679,Bajadero,PR,TRUE,9717,344.7,Arecibo,10.876
00617,18.44598,-66.56006,Barceloneta,PR,TRUE,22584,475.1,Barceloneta,18.343
00622,17.98892,-67.1566,Boqueron,PR,TRUE,7664,94.9,Cabo Rojo,31.166
00623,18.08429,-67.15336,Cabo Rojo,PR,TRUE,39212,386.2,Cabo Rojo,39.198
00624,18.05905,-66.71932,Penuelas,PR,TRUE,21148,173.9,Peñuelas,46.998
00627,18.41905,-66.86037,Camuy,PR,TRUE,32734,272.6,Camuy,46.447
00631,18.1852,-66.83169,Castaner,PR,TRUE,1321,163.2,Lares,3.126
00637,18.081,-66.94659,Sabana Grande,PR,TRUE,22909,251.5,Sabana Grande,35.161
00638,18.28462,-66.5137,Ciales,PR,TRUE,17319,93.7,Ciales,71.401
00641,18.26742,-66.70212,Utuado,PR,TRUE,23831,109.4,Utuado,84.1
00646,18.43251,-66.28429,Dorado,PR,TRUE,35998,660.2,Dorado,21.052
00647,17.96667,-66.94266,Ensenada,PR,TRUE,4369,106.7,Guánica,15.799
00650,18.34487,-66.58347,Florida,PR,TRUE,13200,160.7,Florida,31.758
00652,18.45614,-66.60194,Garrochales,PR,TRUE,4504,269.9,Arecibo,6.44
00653,17.99413,-66.90266,Guanica,PR,TRUE,8495,148.5,Guánica,22.12
00656,18.04186,-66.79123,Guayanilla,PR,TRUE,17398,159.4,Guayanilla,42.144
00659,18.41036,-66.79691,Hatillo,PR,TRUE,37327,351,Hatillo,41.021
00660,18.13412,-67.11399,Hormigueros,PR,TRUE,15405,525.5,Hormigueros,11.318
00662,18.46622,-67.01508,Isabela,PR,TRUE,41090,384.4,Isabela,41.271
00664,18.21064,-66.59066,Jayuya,PR,TRUE,14807,121.9,Jayuya,46.922
00667,18.01246,-67.0417,Lajas,PR,TRUE,22792,146.2,Lajas,60.207
00669,18.27019,-66.86727,Lares,PR,TRUE,27417,165.1,Lares,64.117
00670,18.23782,-66.98852,Las Marias,PR,TRUE,8512,70.7,Las Marías,46.508
00674,18.42229,-66.4891,Manati,PR,TRUE,39093,347.4,Manatí,43.453
00676,18.37897,-67.08098,Moca,PR,TRUE,36972,292.2,Moca,48.853
00677,18.33535,-67.23155,Rincon,PR,TRUE,15483,410.3,Rincón,14.569
00678,18.42949,-66.93016,Quebradillas,PR,TRUE,24595,325.9,Quebradillas,29.126
00680,18.16307,-67.36122,Mayaguez,PR,TRUE,42689,256.3,Mayagüez,64.305
00682,18.22415,-67.15309,Mayaguez,PR,TRUE,28977,686,Mayagüez,16.31
00683,18.10926,-67.03803,San German,PR,TRUE,29490,231,San Germán,49.289
00685,18.33656,-66.97518,San Sebastian,PR,TRUE,39988,196.2,San Sebastián,78.694
00687,18.31707,-66.42029,Morovis,PR,TRUE,28397,282.1,Morovis,38.871
00688,18.3807,-66.62496,Sabana Hoyos,PR,TRUE,10028,119.1,Arecibo,32.506
00690,18.49363,-67.09734,San Antonio,PR,TRUE,5870,1002.4,Aguadilla,2.262
00692,18.40905,-66.33768,Vega Alta,PR,TRUE,32802,477.4,Vega Alta,26.526
